Date,SPY US Equity Price,Hist vol,Implied vol,Spread,Signal
11/15/2017,256.44,4.393828654,9.6315,-5.237671346,Short
11/14/2017,257.73,3.444309744,8.649125,-5.204815256,Short
11/13/2017,258.33,3.154038391,8.707813,-5.553774609,Short
11/10/2017,258.09,3.198932435,8.720313,-5.521380565,Short
11/09/2017,258.17,3.948700142,7.970688,-4.021987858,Short
10/26/2017,255.62,4.89065518,8.465875,-3.57521982,Short
10/24/2017,256.56,3.939090014,7.801875,-3.862784986,Short
10/23/2017,256.11,3.923668916,7.674875,-3.751206084,Short
10/20/2017,257.11,2.902190793,6.993313,-4.091122207,Short
10/19/2017,255.79,2.259041046,7.096688,-4.837646954,Short
10/18/2017,255.72,2.448863561,7.033313,-4.584449439,Short
09/28/2017,250.35,3.203838127,7.194625,-3.990786873,Short
09/27/2017,250.05,3.846999163,7.541125,-3.694125837,Short
09/26/2017,249.08,3.038960039,7.623625,-4.584664961,Short
09/25/2017,248.93,3.025377119,7.972313,-4.946935881,Short
09/22/2017,249.44,3.488333223,7.302,-3.813666777,Short
08/29/2017,244.85,11.04368117,9.060625,1.983056169,Long
08/28/2017,244.57,11.08508714,8.739188,2.345899137,Long
08/25/2017,244.56,11.0810507,8.540313,2.540737703,Long
08/24/2017,243.99,12.44917798,9.989125,2.460052975,Long
08/23/2017,244.56,12.39124124,9.371188,3.02005324,Long
08/22/2017,245.44,14.61053012,8.671688,5.938842124,Long
08/21/2017,242.9,12.99299212,10.43488,2.55811212,Long
08/18/2017,242.71,12.88565627,10.91419,1.971466266,Long
08/17/2017,243.09,13.08213648,10.96138,2.120756485,Long
08/16/2017,246.94,10.15752959,7.9055,2.252029585,Long
08/15/2017,246.51,10.14404894,8.207375,1.936673936,Long
08/14/2017,246.54,10.15505279,8.603688,1.551364793,Long
08/10/2017,243.76,8.180193695,12.00388,-3.823686305,Short
08/09/2017,247.25,2.763279914,8.334813,-5.571533086,Short
08/08/2017,247.26,2.810814737,8.138313,-5.327498263,Short
08/07/2017,247.87,2.41368132,7.222125,-4.80844368,Short
08/04/2017,247.41,2.556115549,7.215813,-4.659697451,Short
08/03/2017,246.96,2.382829082,7.968625,-5.585795918,Short
08/02/2017,247.44,2.155433516,7.215188,-5.059754484,Short
08/01/2017,247.32,2.153544763,7.169188,-5.015643237,Short
07/31/2017,246.77,3.439794068,7.602688,-4.162893932,Short
07/28/2017,246.91,3.379092515,7.511875,-4.132782485,Short
07/27/2017,247.2,3.241867544,7.302313,-4.060445456,Short
07/12/2017,244.01,9.419874241,7.937125,1.482749241,Long
07/10/2017,242.37,10.81912793,8.593375,2.225752934,Long
07/07/2017,242.11,10.80277092,8.670313,2.132457918,Long
06/29/2017,241.35,10.45374238,9.189188,1.264554376,Long
06/28/2017,243.49,9.588982413,8.018375,1.570607413,Long
06/15/2017,243.77,3.850526774,7.716625,-3.866098226,Short
05/30/2017,241.5,11.88136131,7.7,4.181361312,Long
05/26/2017,241.71,11.88333606,7.202188,4.681148062,Long
05/25/2017,241.76,12.14357592,7.366313,4.777262916,Long
05/24/2017,240.61,12.03613243,7.730188,4.305944426,Long
05/23/2017,240.05,12.05781991,8.043625,4.014194908,Long
05/22/2017,239.52,12.03601984,8.174,3.862019841,Long
05/19/2017,238.31,11.64711515,8.909625,2.737490153,Long
05/16/2017,240.08,4.193043465,7.9715,-3.778456535,Short
05/15/2017,240.3,4.234422425,8.182625,-3.948202575,Short
05/12/2017,238.98,3.087374275,8.471875,-5.384500725,Short
05/11/2017,239.38,3.109325647,8.350625,-5.241299353,Short
05/10/2017,239.87,3.147890957,7.783125,-4.635234043,Short
05/09/2017,239.44,3.070006266,7.755313,-4.685306734,Short
05/08/2017,239.66,3.030746417,7.503875,-4.473128583,Short
05/05/2017,239.7,4.102249173,8.0945,-3.992250827,Short
04/26/2017,238.4,10.26392266,8.491813,1.772109658,Long
04/25/2017,238.55,10.77047828,8.370313,2.400165275,Long
04/24/2017,237.17,10.54520285,8.546625,1.998577847,Long
04/19/2017,233.44,7.186794402,12.24231,-5.055515598,Short
04/18/2017,233.87,7.274147222,11.88081,-4.606662778,Short
04/17/2017,234.57,7.173839797,11.81863,-4.644790203,Short
04/13/2017,232.51,4.545961271,13.28688,-8.740918729,Short
04/12/2017,234.03,3.488454698,12.613,-9.124545302,Short
04/11/2017,235.06,3.517297506,12.36988,-8.852582494,Short
04/10/2017,235.34,3.513481725,11.83888,-8.325398275,Short
04/07/2017,235.2,5.260625703,10.44138,-5.180754297,Short
04/06/2017,235.44,5.261380488,10.0565,-4.795119512,Short
04/05/2017,234.78,5.153655723,10.26431,-5.110654277,Short
04/04/2017,235.48,4.84533903,9.554313,-4.70897397,Short
04/03/2017,235.33,4.939902344,9.490313,-4.550410656,Short
03/14/2017,236.9,4.909800808,9.281125,-4.371324192,Short
02/28/2017,236.47,4.515725386,10.15338,-5.637654614,Short
02/27/2017,237.11,3.984361723,9.386,-5.401638277,Short
02/24/2017,236.74,4.354250464,8.654375,-4.300124536,Short
02/23/2017,236.44,4.348805879,8.931875,-4.583069121,Short
02/22/2017,236.28,4.436453231,8.951813,-4.515359769,Short
02/21/2017,236.49,3.873873588,8.9675,-5.093626412,Short
02/17/2017,235.09,4.013296055,8.714125,-4.700828945,Short
02/16/2017,234.72,4.731164408,9.003125,-4.271960592,Short
02/15/2017,234.92,4.732973346,9.224688,-4.491714654,Short
02/14/2017,233.7,4.810053903,8.451125,-3.641071097,Short
02/13/2017,232.77,4.938896903,8.757625,-3.818728097,Short
02/10/2017,231.51,4.774080323,8.533313,-3.759232677,Short
01/23/2017,226.15,4.792568004,9.456,-4.663431996,Short
01/20/2017,226.74,4.922213372,9.002688,-4.080474628,Short
01/19/2017,225.91,4.8977459,10.05419,-5.1564441,Short
01/18/2017,226.75,4.457099599,9.74,-5.282900401,Short
01/17/2017,226.25,5.386472706,9.835125,-4.448652294,Short