Date,Price,implied_vol
01/03/2017,225.24,0.075217334
01/04/2017,226.58,0.079517554
01/05/2017,226.4,0.077881066
01/06/2017,227.21,0.078579466
01/09/2017,226.46,0.081589631
01/10/2017,226.46,0.080588471
01/11/2017,227.1,0.063253576
01/12/2017,226.53,0.066208426
01/13/2017,227.05,0.059789162
01/17/2017,226.25,0.053864727
01/18/2017,226.75,0.044570996
01/19/2017,225.91,0.048977459
01/20/2017,226.74,0.049222134
01/23/2017,226.15,0.04792568
01/24/2017,227.6,0.059499268
01/25/2017,229.57,0.073237565
01/26/2017,229.33,0.07121552
01/27/2017,228.97,0.072594102
01/30/2017,227.55,0.079121981
01/31/2017,227.53,0.078601016
02/01/2017,227.62,0.074651024
02/02/2017,227.77,0.072670136
02/03/2017,229.34,0.077198121
02/06/2017,228.93,0.072951694
02/07/2017,228.94,0.054803223
02/08/2017,229.24,0.055229366
02/09/2017,230.6,0.062658173
02/10/2017,231.51,0.047740803
02/13/2017,232.77,0.049388969
02/14/2017,233.7,0.048100539
02/15/2017,234.92,0.047329733
02/16/2017,234.72,0.047311644
02/17/2017,235.09,0.040132961
02/21/2017,236.49,0.038738736
02/22/2017,236.28,0.044364532
02/23/2017,236.44,0.043488059
02/24/2017,236.74,0.043542505
02/27/2017,237.11,0.039843617
02/28/2017,236.47,0.045157254
03/01/2017,239.78,0.080156544
03/02/2017,238.27,0.091645791
03/03/2017,238.42,0.091817747
03/06/2017,237.71,0.090512961
03/07/2017,237,0.092303496
03/08/2017,236.56,0.093004141
03/09/2017,236.86,0.093003875
03/10/2017,237.69,0.094591319
03/13/2017,237.81,0.092868876
03/14/2017,236.9,0.049098008
03/15/2017,238.95,0.063437512
03/16/2017,238.48,0.064548682
03/17/2017,237.03,0.07111171
03/20/2017,236.77,0.069508563
03/21/2017,233.73,0.098116657
03/22/2017,234.28,0.099217523
03/23/2017,234.03,0.095116006
03/24/2017,233.86,0.094405806
03/27/2017,233.62,0.093702289
03/28/2017,235.32,0.089059459
03/29/2017,235.54,0.090136115
03/30/2017,236.29,0.08811657
03/31/2017,235.74,0.088704799
04/03/2017,235.33,0.049399023
04/04/2017,235.48,0.04845339
04/05/2017,234.78,0.051536557
04/06/2017,235.44,0.052613805
04/07/2017,235.2,0.052606257
04/10/2017,235.34,0.035134817
04/11/2017,235.06,0.035172975
04/12/2017,234.03,0.034884547
04/13/2017,232.51,0.045459613
04/17/2017,234.57,0.071738398
04/18/2017,233.87,0.072741472
04/19/2017,233.44,0.071867944
04/20/2017,235.34,0.084629288
04/21/2017,234.59,0.086230731
04/24/2017,237.17,0.105452028
04/25/2017,238.55,0.107704783
04/26/2017,238.4,0.102639227
04/27/2017,238.6,0.08944104
04/28/2017,238.08,0.08510612
05/01/2017,238.68,0.080365369
05/02/2017,238.77,0.077520136
05/03/2017,238.48,0.071609141
05/04/2017,238.76,0.065990892
05/05/2017,239.7,0.041022492
05/08/2017,239.66,0.030307464
05/09/2017,239.44,0.030700063
05/10/2017,239.87,0.03147891
05/11/2017,239.38,0.031093256
05/12/2017,238.98,0.030873743
05/15/2017,240.3,0.042344224
05/16/2017,240.08,0.041930435
05/17/2017,235.82,0.108341039
05/18/2017,236.77,0.10848705
05/19/2017,238.31,0.116471152
05/22/2017,239.52,0.120360198
05/23/2017,240.05,0.120578199
05/24/2017,240.61,0.120361324
05/25/2017,241.76,0.121435759
05/26/2017,241.71,0.118833361
05/30/2017,241.5,0.118813613
05/31/2017,241.44,0.042707302
06/01/2017,243.36,0.051178452
06/02/2017,244.17,0.046931816
06/05/2017,243.99,0.047780873
06/06/2017,243.21,0.055447513
06/07/2017,243.66,0.055260056
06/08/2017,243.78,0.051435737
06/09/2017,243.41,0.052838025
06/12/2017,243.36,0.052282739
06/13/2017,244.55,0.055909188
06/14/2017,244.24,0.041031431
06/15/2017,243.77,0.038505268
06/16/2017,242.64,0.045443802
06/19/2017,244.66,0.062844126
06/20/2017,243.01,0.073677521
06/21/2017,242.95,0.07352717
06/22/2017,242.84,0.073212605
06/23/2017,243.13,0.073631723
06/26/2017,243.29,0.067596143
06/27/2017,241.33,0.078873051
06/28/2017,243.49,0.095889824
06/29/2017,241.35,0.104537424
06/30/2017,241.8,0.091707633
07/03/2017,242.21,0.086460258
07/05/2017,242.77,0.087658443
07/06/2017,240.55,0.100488277
07/07/2017,242.11,0.108027709
07/10/2017,242.37,0.108191279
07/11/2017,242.19,0.097994823
07/12/2017,244.01,0.094198742
07/13/2017,244.42,0.076627886
07/14/2017,245.56,0.078612461
07/17/2017,245.53,0.079231468
07/18/2017,245.66,0.079227392
07/19/2017,246.99,0.049667208
07/20/2017,247.1,0.046183223
07/21/2017,246.88,0.048955974
07/24/2017,246.82,0.048095827
07/25/2017,247.42,0.035813738
07/26/2017,247.43,0.03668247
07/27/2017,247.2,0.032418675
07/28/2017,246.91,0.033790925
07/31/2017,246.77,0.034397941
08/01/2017,247.32,0.021535448
08/02/2017,247.44,0.021554335
08/03/2017,246.96,0.023828291
08/04/2017,247.41,0.025561155
08/07/2017,247.87,0.024136813
08/08/2017,247.26,0.028108147
08/09/2017,247.25,0.027632799
08/10/2017,243.76,0.081801937
08/11/2017,244.12,0.083224149
08/14/2017,246.54,0.101550528
08/15/2017,246.51,0.101440489
08/16/2017,246.94,0.101575296
08/17/2017,243.09,0.130821365
08/18/2017,242.71,0.128856563
08/21/2017,242.9,0.129929921
08/22/2017,245.44,0.146105301
08/23/2017,244.56,0.123912412
08/24/2017,243.99,0.12449178
08/25/2017,244.56,0.110810507
08/28/2017,244.57,0.110850871
08/29/2017,244.85,0.110436812
08/30/2017,246.01,0.068142755
08/31/2017,247.49,0.069817299
09/01/2017,247.84,0.069492358
09/05/2017,246.06,0.066644539
09/06/2017,246.9,0.063993619
09/07/2017,246.87,0.0612284
09/08/2017,246.58,0.06220748
09/11/2017,249.21,0.080602291
09/12/2017,250.05,0.080640741
09/13/2017,250.17,0.079773545
09/14/2017,250.09,0.076281728
09/15/2017,249.19,0.080400472
09/18/2017,249.72,0.065128698
09/19/2017,249.97,0.064285342
09/20/2017,250.06,0.063972869
09/21/2017,249.39,0.066431581
09/22/2017,249.44,0.034883332
09/25/2017,248.93,0.030253771
09/26/2017,249.08,0.0303896
09/27/2017,250.05,0.038469992
09/28/2017,250.35,0.032038381
09/29/2017,251.23,0.035022109
10/02/2017,252.32,0.040227016
10/03/2017,252.86,0.040385326
10/04/2017,253.16,0.032826222
10/05/2017,254.66,0.038398646
10/06/2017,254.37,0.035239614
10/09/2017,253.95,0.040650806
10/10/2017,254.62,0.039453198
10/11/2017,255.02,0.039254646
10/12/2017,254.64,0.042310615
10/13/2017,254.95,0.038694204
10/16/2017,255.29,0.038267268
10/17/2017,255.47,0.038304279
10/18/2017,255.72,0.024488636
10/19/2017,255.79,0.02259041
10/20/2017,257.11,0.029021908
10/23/2017,256.11,0.039236689
10/24/2017,256.56,0.0393909
10/25/2017,255.29,0.048858238
10/26/2017,255.62,0.048906552
10/27/2017,257.71,0.064749927
10/30/2017,256.75,0.069715936
10/31/2017,257.15,0.069899095
11/01/2017,257.49,0.069957366
11/02/2017,257.59,0.06468216
11/03/2017,258.45,0.061360643
11/06/2017,258.85,0.061288388
11/07/2017,258.67,0.051303798
11/08/2017,259.11,0.051306777
11/09/2017,258.17,0.039487001
11/10/2017,258.09,0.031989324
11/13/2017,258.33,0.031540384
11/14/2017,257.73,0.034443097
11/15/2017,256.44,0.043938287
11/16/2017,258.62,0.063000766
11/17/2017,257.86,0.064198152
11/20/2017,258.3,0.065159596
11/21/2017,259.99,0.074162063
11/22/2017,259.76,0.070721872
11/24/2017,260.36,0.070927165
11/27/2017,260.23,0.071370023
11/28/2017,262.87,0.083755239
11/29/2017,262.71,0.074227264
11/30/2017,265.01,0.074874174
12/01/2017,264.46,0.072867484
12/04/2017,264.14,0.075923095
12/05/2017,263.19,0.07790187
12/06/2017,263.24,0.077105661
12/07/2017,264.07,0.077530678
12/08/2017,265.51,0.078930535
12/11/2017,266.31,0.06371478
12/12/2017,266.78,0.062494078
12/13/2017,266.75,0.04620899
12/14/2017,265.66,0.051190881
12/15/2017,266.51,0.051869212
12/18/2017,268.2,0.050707066
12/19/2017,267.17,0.059516668
12/20/2017,267.03,0.059777963
12/21/2017,267.58,0.054595745
12/22/2017,267.51,0.053231149
12/26/2017,267.19,0.053324894
12/27/2017,267.32,0.053318724
12/28/2017,267.87,0.046945799